Food Prices for Nutrition Data,FPN,Australia,AUS,2020,YR2020,2.561
Food Prices for Nutrition Data,FPN,Belarus,BLR,2020,YR2020,3.31
Food Prices for Nutrition Data,FPN,Barbados,BRB,2020,YR2020,..
Food Prices for Nutrition Data,FPN,Albania,ALB,2020,YR2020,4.197
Food Prices for Nutrition Data,FPN,Algeria,DZA,2020,YR2020,3.76
Food Prices for Nutrition Data,FPN,Angola,AGO,2020,YR2020,4.534
Food Prices for Nutrition Data,FPN,Anguilla,AIA,2020,YR2020,..
Food Prices for Nutrition Data,FPN,Antigua and Barbuda,ATG,2020,YR2020,4.504
Food Prices for Nutrition Data,FPN,Argentina,ARG,2020,YR2020,..
Food Prices for Nutrition Data,FPN,Armenia,ARM,2020,YR2020,3.247
Food Prices for Nutrition Data,FPN,Aruba,ABW,2020,YR2020,4.138
Food Prices for Nutrition Data,FPN,Austria,AUT,2020,YR2020,2.981
Food Prices for Nutrition Data,FPN,Azerbaijan,AZE,2020,YR2020,2.533
Food Prices for Nutrition Data,FPN,"Bahamas, The",BHS,2020,YR2020,4.488
Food Prices for Nutrition Data,FPN,Bahrain,BHR,2020,YR2020,3.835
Food Prices for Nutrition Data,FPN,Bangladesh,BGD,2020,YR2020,3.064
Food Prices for Nutrition Data,FPN,Belgium,BEL,2020,YR2020,3.13
Food Prices for Nutrition Data,FPN,Belize,BLZ,2020,YR2020,2.14
Food Prices for Nutrition Data,FPN,Benin,BEN,2020,YR2020,3.707
Food Prices for Nutrition Data,FPN,Bermuda,BMU,2020,YR2020,3.616
Food Prices for Nutrition Data,FPN,Bhutan,BTN,2020,YR2020,5.029
Food Prices for Nutrition Data,FPN,Bolivia,BOL,2020,YR2020,3.755
Food Prices for Nutrition Data,FPN,Bonaire,BON,2020,YR2020,..
Food Prices for Nutrition Data,FPN,Bosnia and Herzegovina,BIH,2020,YR2020,3.995
Food Prices for Nutrition Data,FPN,Botswana,BWA,2020,YR2020,3.701
Food Prices for Nutrition Data,FPN,Brazil,BRA,2020,YR2020,3.084
Food Prices for Nutrition Data,FPN,British Virgin Islands,VGB,2020,YR2020,3.337
Food Prices for Nutrition Data,FPN,Brunei Darussalam,BRN,2020,YR2020,4.405
Food Prices for Nutrition Data,FPN,Bulgaria,BGR,2020,YR2020,4.108
Food Prices for Nutrition Data,FPN,Burkina Faso,BFA,2020,YR2020,3.345
Food Prices for Nutrition Data,FPN,Burundi,BDI,2020,YR2020,2.943
Food Prices for Nutrition Data,FPN,Cabo Verde,CPV,2020,YR2020,3.563
Food Prices for Nutrition Data,FPN,Cambodia,KHM,2020,YR2020,3.888
